101/DT_1B040B3 | 행정구역(시군구)별 주민등록세대수 | 인구 > 주민등록인구현황
203/DT_203N100002 | 동·읍·면별 주민등록 세대 | 지역통계 > 인구 및 사회(사회조사 외) > 대구광역시 > 대구광역시주민등록인구통계
203/DT_203N100009 | 동·읍·면별 주민등록 세대 | 지역통계 > 인구 및 사회(사회조사 외) > 대구광역시 > 대구광역시주민등록인구통계
203/DT_203N100012 | 동·읍·면별 주민등록 세대 | 지역통계 > 인구 및 사회(사회조사 외) > 대구광역시 > 대구광역시주민등록인구통계
203/DT_203N100013 | 동·읍·면별 주민등록 세대 | 지역통계 > 인구 및 사회(사회조사 외) > 대구광역시 > 대구광역시주민등록인구통계
204/DT_204A202 | 군.구별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 인천광역시 > 인천광역시기본통계 > 기본통계(~2011년) > 인구
204/DT_204C100_2 | 읍면동별 세대 및 인구 | 지역통계 > 인구 및 사회(사회조사 외) > 인천광역시 > 인천광역시주민등록인구통계
204/DT_204C100_2_10 | 읍면동별 세대 및 인구 | 지역통계 > 인구 및 사회(사회조사 외) > 인천광역시 > 인천광역시주민등록인구통계
206/DT_20603N189 | 행정구역(읍면동)별 세대 및 주민등록인구(2000~2011) | 지역통계 > 지자체 기본통계 > 대전광역시 > 대전광역시기본통계 > 2011년 이전 > 인구
206/DT_20603_B001004 | 구별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 대전광역시 > 대전광역시기본통계 > 2012년 이후 > 인구
206/DT_206YCB | 행정구역(자치구)별 세대 및 주민등록인구(1990~2011) | 지역통계 > 지자체 기본통계 > 대전광역시 > 대전광역시기본통계 > 2011년 이전 > 인구
207/DT_20703_001 | 울산광역시 구·군별 주민등록인구 및 세대수 | 지역통계 > 인구 및 사회(사회조사 외) > 울산광역시 > 울산광역시주민등록인구통계 > 2012년~ > 인구 및 세대수
207/DT_20703_002 | 중구 동별 주민등록인구 및 세대수 | 지역통계 > 인구 및 사회(사회조사 외) > 울산광역시 > 울산광역시주민등록인구통계 > 2012년~ > 인구 및 세대수
207/DT_20703_003 | 남구 동별 주민등록인구 및 세대수 | 지역통계 > 인구 및 사회(사회조사 외) > 울산광역시 > 울산광역시주민등록인구통계 > 2012년~ > 인구 및 세대수
207/DT_20703_004 | 동구 동별 주민등록인구 및 세대수 | 지역통계 > 인구 및 사회(사회조사 외) > 울산광역시 > 울산광역시주민등록인구통계 > 2012년~ > 인구 및 세대수
207/DT_20703_005 | 북구 동별 주민등록인구 및 세대수 | 지역통계 > 인구 및 사회(사회조사 외) > 울산광역시 > 울산광역시주민등록인구통계 > 2012년~ > 인구 및 세대수
207/DT_20703_006 | 울주군 읍·면별 주민등록인구 및 세대수 | 지역통계 > 인구 및 사회(사회조사 외) > 울산광역시 > 울산광역시주민등록인구통계 > 2012년~ > 인구 및 세대수
208/DT_20802N_328 | 행정구역(읍면동)별 세대 및 인구 (주민등록) | 지역통계 > 지자체 기본통계 > 세종특별자치시 > 세종특별자치시기본통계 > 인구
